930,0	9,28e-27
930,172	7,05e-27
930,345	7,8e-27
930,5169999999999	8,29e-27
930,6899999999999	6,81e-27
930,862	7,3e-27
931,0340000000001	6,93e-27
931,207	7,3e-27
931,379	8,66e-27
931,5519999999999	7,55e-27
931,724	8,91e-27
931,897	7,05e-27
932,0690000000001	8,04e-27
932,241	8,54e-27
932,414	6,06e-27
932,586	7,8e-27
932,759	7,67e-27
932,931	8,91e-27
933,103	7,67e-27
933,276	8,17e-27
933,448	8,79e-27
933,621	7,55e-27
933,793	8,29e-27
933,966	8,17e-27
934,1379999999999	7,55e-27
934,31	7,67e-27
934,483	7,8e-27
934,655	7,8e-27
934,828	7,67e-27
935,0	8,79e-27
935,172	8,54e-27
935,345	8,79e-27
935,517	7,18e-27
935,69	7,05e-27
935,862	7,8e-27
936,034	6,81e-27
936,207	8,79e-27
936,379	7,05e-27
936,552	7,18e-27
936,724	8,66e-27
936,897	8,29e-27
937,069	7,55e-27
937,241	6,81e-27
937,414	8,79e-27
937,586	8,04e-27
937,759	7,55e-27
937,9309999999999	7,43e-27
938,1030000000001	6,68e-27
938,276	8,29e-27
938,4480000000001	8,04e-27
938,6210000000001	7,92e-27
938,793	6,93e-27
938,966	7,92e-27
939,138	8,04e-27
939,3100000000001	7,8e-27
939,4830000000001	7,8e-27
939,655	7,67e-27
939,828	8,91e-27
940,0	8,54e-27
940,172	9,41e-27
940,345	8,17e-27
940,5169999999999	8,29e-27
940,6899999999999	8,66e-27
940,862	8,54e-27
941,034	8,79e-27
941,207	8,17e-27
941,3789999999999	8,91e-27
941,5519999999999	9,78e-27
941,724	9,9e-27
941,8969999999999	8,42e-27
942,0690000000001	8,54e-27
942,241	9,16e-27
942,414	9,28e-27
942,586	9,16e-27
942,759	9,53e-27
942,931	9,28e-27
943,103	9,65e-27
943,276	9,28e-27
943,448	9,03e-27
943,621	9,65e-27
943,793	9,78e-27
943,966	1,08e-26
944,138	1,05e-26
944,31	9,78e-27
944,483	9,9e-27
944,655	1,05e-26
944,828	1,03e-26
945,0	1,04e-26
945,172	1,11e-26
945,345	1,05e-26
945,517	1,1e-26
945,69	1,09e-26
945,8620000000001	1,04e-26
946,034	1,06e-26
946,207	1,01e-26
946,379	1,11e-26
946,552	1,08e-26
946,724	1,16e-26
946,897	1,14e-26
947,069	1,21e-26
947,241	1,2e-26
947,414	1,19e-26
