8.5E-007	3.0000001202542E-026
8.51E-007	3.36948562007621E-026
8.52E-007	3.79662791575494E-026
8.53E-007	4.27945547132491E-026
8.54E-007	4.81599736711823E-026
8.55E-007	5.40428145087186E-026
8.56E-007	6.04233741921548E-026
8.57E-007	6.72819281173726E-026
8.58E-007	7.45987670876931E-026
8.59E-007	8.23541819064373E-026
8.6E-007	9.05284510509747E-026
8.61E-007	9.91018653246266E-026
8.62E-007	1.08054715530714E-025
8.63E-007	1.17367267820654E-025
8.64E-007	1.27019831486697E-025
8.65E-007	1.36992685006211E-025
8.66E-007	1.47266094530614E-025
8.67E-007	1.57820387841082E-025
8.68E-007	1.68635818763082E-025
8.69E-007	1.79692678099935E-025
8.7E-007	1.90971268980912E-025
8.71E-007	2.02451857557433E-025
8.72E-007	2.1411474695877E-025
8.73E-007	2.25940191010389E-025
8.74E-007	2.37908542145369E-025
8.75E-007	2.5000000488537E-025
8.76E-007	2.63098843001339E-025
8.77E-007	2.77993375056623E-025
8.78E-007	2.9452006032481E-025
8.79E-007	3.12515308775679E-025
8.8E-007	3.3181560433472E-025
8.81E-007	3.52257356971712E-025
8.82E-007	3.73677025960242E-025
8.83E-007	3.95911070573896E-025
8.84E-007	4.18795900782454E-025
8.85E-007	4.42167926555696E-025
8.86E-007	4.65863730426725E-025
8.87E-007	4.89719623757707E-025
8.88E-007	5.13572065822229E-025
8.89E-007	5.37257565197683E-025
8.9E-007	5.60612482550043E-025
8.91E-007	5.83473326456702E-025
8.92E-007	6.05676556191246E-025
8.93E-007	6.27058532419648E-025
8.94E-007	6.47455763719302E-025
8.95E-007	6.66704709363793E-025
8.96E-007	6.84641730019096E-025
8.97E-007	7.01103334262602E-025
8.98E-007	7.15925932064091E-025
8.99E-007	7.28946032000958E-025
9E-007	7.39999994739174E-025
9.01E-007	7.50113733885979E-025
9.02E-007	7.60309859693574E-025
9.03E-007	7.70420098270113E-025
9.04E-007	7.80276077116138E-025
9.05E-007	7.89709522339803E-025
9.06E-007	7.98552061441652E-025
9.07E-007	8.06635371226032E-025
9.08E-007	8.13791079193485E-025
9.09E-007	8.19850911452167E-025
9.1E-007	8.24646544806425E-025
9.11E-007	8.28009606756802E-025
9.12E-007	8.29771823411452E-025
9.13E-007	8.29771823411452E-025
9.14E-007	8.28009606756802E-025
9.15E-007	8.24646544806425E-025
9.16E-007	8.19850911452167E-025
9.17E-007	8.13791079193485E-025
9.18E-007	8.06635371226032E-025
9.19E-007	7.98552061441652E-025
9.2E-007	7.89709522339803E-025
9.21E-007	7.80276077116138E-025
9.22E-007	7.70420098270113E-025
9.23E-007	7.60309859693574E-025
9.24E-007	7.50113733885979E-025
9.25E-007	7.39999994739174E-025
9.26E-007	7.28479617990746E-025
9.27E-007	7.14137978822408E-025
9.28E-007	6.9725532007074E-025
9.29E-007	6.78111785964709E-025
9.3E-007	6.56987520733281E-025
9.31E-007	6.34162668605423E-025
9.32E-007	6.09917423113908E-025
9.33E-007	5.84531977791509E-025
9.34E-007	5.58286427563386E-025
9.35E-007	5.31460965962312E-025
9.36E-007	5.04335737217255E-025
9.37E-007	4.77190934860987E-025
9.38E-007	4.50306703122475E-025
9.39E-007	4.23963235534491E-025
9.4E-007	3.98440627022197E-025
9.41E-007	3.74019120422171E-025
9.42E-007	3.50978810659575E-025
9.43E-007	3.2959989126718E-025
9.44E-007	3.10162531125857E-025
9.45E-007	2.92946874464573E-025
9.46E-007	2.78233090164197E-025
9.47E-007	2.66301371757503E-025
9.48E-007	2.57431838821554E-025
9.49E-007	2.5190466023722E-025
9.5E-007	2.5000000488537E-025
9.51E-007	2.5000000488537E-025
9.52E-007	2.5000000488537E-025
9.53E-007	2.5000000488537E-025
9.54E-007	2.5000000488537E-025
9.55E-007	2.5000000488537E-025
9.56E-007	2.5000000488537E-025
9.57E-007	2.5000000488537E-025
9.58E-007	2.5000000488537E-025
9.59E-007	2.51959584677746E-025
9.6E-007	2.57880947195658E-025
9.61E-007	2.67828014824332E-025
9.62E-007	2.81864685297092E-025
9.63E-007	3.00054905651067E-025
9.64E-007	3.22462598271483E-025
9.65E-007	3.4915163623976E-025
9.66E-007	3.8018599124493E-025
9.67E-007	4.15629561020317E-025
9.68E-007	4.55546267951146E-025
9.69E-007	5.00000009770741E-025
9.7E-007	6.89868229339024E-025
9.71E-007	1.09247581687782E-024
9.72E-007	1.59755771790381E-024
9.73E-007	2.09484892723744E-024
9.74E-007	2.47408473552203E-024
9.75E-007	2.62499994036282E-024
9.76E-007	2.49685362782942E-024
9.77E-007	2.16553263928228E-024
9.78E-007	1.71071389830097E-024
9.79E-007	1.21207432846509E-024
9.8E-007	7.49290853354221E-025
9.81E-007	4.0204042119985E-025
9.82E-007	2.5000000488537E-025
9.83E-007	2.25434112087786E-025
9.84E-007	2.06612975572957E-025
9.85E-007	1.92222020272092E-025
9.86E-007	1.80946720420203E-025
9.87E-007	1.71472500948499E-025
9.88E-007	1.62562945647561E-025
9.89E-007	1.53889543254173E-025
9.9E-007	1.45537885176549E-025
9.91E-007	1.37572879876049E-025
9.92E-007	1.30059460465933E-025
9.93E-007	1.23062547733511E-025
9.94E-007	1.16647074792043E-025
9.95E-007	1.10877950102887E-025
9.96E-007	1.05820106779304E-025
9.97E-007	1.0153847177158E-025
9.98E-007	9.80979597040471E-026
9.99E-007	9.55634913640159E-026
1E-006	9.3999999864747E-026
1.001E-006	9.30573480608628E-026
1.002E-006	9.23118560165015E-026
1.003E-006	9.17181457406853E-026
1.004E-006	9.12308330794609E-026
